dataAbscissa/Depth	Age	dataOrdinate/Value
137.56	26305.7	-1.33
137.61	26309.6	-1.593
137.66	26313.5	-2.04
137.68	26315.1	-1.487
137.71	26317.5	-1.615
137.76	26321.4	-1.579
137.81	26325.3	-1.383
137.86	26329.3	-1.915
137.91	26333.2	-1.885
137.96	26337.1	-2.208
138	26340.3	-1.957
138.06	26345	-1.694
138.09	26347.4	-1.952
138.11	26348.9	-2.093
138.16	26352.9	-1.78
138.18	26354.4	-1.899
138.26	26360.7	-1.942
138.28	26362.3	-2.056
138.31	26364.7	-1.629
138.36	26368.6	-1.866
138.37	26369.4	-1.873
138.46	26376.5	-2.031
138.55	26383.5	-2.28
138.61	26388.3	-1.67
138.65	26391.4	-2.015
138.71	26396.1	-1.618
138.74	26398.5	-1.795
138.76	26400.1	-1.628
138.83	26405.6	-1.85
138.86	26407.9	-1.303
138.91	26411.9	-1.246
138.92	26412.6	-2.115
138.96	26415.8	-1.374
139.01	26419.7	-1.624
139.06	26423.7	-1.965
139.11	26427.6	-2.256
139.18	26433.1	-2.095
139.2	26434.7	-2.239
139.21	26435.4	-1.833
139.29	26441.7	-2.327
139.31	26443.3	-2
139.36	26447.2	-1.844
139.38	26448.8	-2.054
139.41	26451.2	-1.781
139.46	26455.1	-1.564
139.47	26455.9	-1.985
139.51	26459	-1.578
139.56	26463	-1.754
139.57	26463.8	-2.013
139.62	26467.7	-1.549
139.67	26471.6	-1.721
139.72	26475.6	-1.75
139.77	26479.5	-1.874
139.83	26484.2	-1.443
139.87	26487.4	-1.731
139.88	26488.1	-1.517
139.93	26492.1	-1.631
139.97	26495.2	-1.996
139.98	26496	-1.545
140.04	26500.7	-1.495
140.07	26503.1	-1.769
140.09	26504.7	-1.576
140.14	26508.6	-1.63
140.2	26513.3	-1.715
140.25	26517.2	-1.542
140.27	26518.8	-1.552
140.3	26521.2	-1.47
140.35	26525.1	-1.499
140.37	26526.7	-1.798
140.55	26540.8	-2.079
140.57	26542.4	-1.71
140.67	26550.3	-1.874
140.77	26558.1	-2.004
140.87	26566	-1.797
140.97	26573.9	-2.028
141.07	26581.7	-2.329
141.17	26589.6	-1.958
141.27	26597.5	-1.993
141.37	26605.3	-2.163
141.47	26613.2	-2.165
141.55	26619.5	-2.082
141.57	26621.1	-2.13
141.67	26628.9	-2.134
141.77	26636.8	-2.041
141.87	26644.7	-2.19
141.97	26652.5	-2.46
142.05	26658.8	-2.034
142.07	26660.4	-2.328
142.17	26668.3	-2.107
142.27	26676.1	-1.992
142.37	26684	-2.151
142.47	26691.9	-1.95
142.57	26699.7	-2.055
142.67	26707.6	-2.099
142.77	26715.5	-1.97
142.87	26723.3	-1.845
142.97	26731.2	-1.903
143.05	26737.5	-1.56
143.07	26739	-1.854
143.17	26746.9	-1.597
143.27	26754.8	-2.303
143.37	26762.6	-2.15
143.55	26776.8	-1.674
143.57	26778.4	-1.842
143.67	26786.2	-1.877
143.77	26794.1	-2.043
143.87	26802	-2.252
143.97	26809.8	-2.226
144.07	26817.7	-2.27
144.17	26825.6	-2.144
144.27	26833.4	-2.139
144.37	26841.3	-1.588
144.47	26849.2	-1.881
144.55	26855.5	-1.88
144.57	26857	-1.621
144.67	26864.9	-1.72
144.77	26872.8	-1.814
144.87	26880.6	-1.874
144.97	26888.5	-1.809
145.07	26896.4	-1.709
145.17	26904.2	-1.847
145.27	26912.1	-1.697
145.37	26919.9	-1.405
145.47	26927.8	-1.619
145.55	26934.1	-1.945
145.57	26935.7	-1.807
145.6	26938	-1.66
145.67	26943.5	-1.944
145.69	26945.1	-1.828
145.77	26951.4	-2.07
145.81	26954.6	-2.075
145.87	26959.3	-2.117
145.93	26964	-1.705
145.97	26967.1	-2.284
146.05	26973.4	-2.05
146.07	26975	-2.032
146.17	26982.9	-2.169
